company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_revenue_std,sumRetweets_over_revenue_std,sumFavorites_over_revenue_std,sumFollowers_over_revenue_std,numVerified_over_revenue_std,stock_mvmt
@oracle,2017-11-17,2.454703393,-5.222678955,-0.744292437,-0.276754037,-0.286792489,-0.427065249,-0.44951583,-0.689269826,DOWN
@oracle,2017-11-16,0.212853095,0.218744693,0.936045898,-0.806144145,-0.318594058,-0.437032997,-0.440901039,-0.689269826,UP
@oracle,2017-11-15,-0.729874618,0.170656981,-0.621653883,-0.751847724,-0.31491965,-0.435740305,-0.694734843,-0.887446573,DOWN
@oracle,2017-11-14,0.093224663,-0.061092706,-0.298895826,-0.239425247,-0.274754781,-0.430200936,-0.530131214,-0.689269826,DOWN
@oracle,2017-11-13,0.052067293,0.537805736,-1.394561983,-0.768815355,-0.303389184,-0.422650713,-0.881812525,-0.887446573,UP
@oracle,2017-11-10,-1.007014225,-0.135948626,-1.265268623,-0.955459304,-0.316261984,-0.433244907,-0.862743339,-0.788358199,UP
@xerox,2017-11-17,-1.064724594,0.989923008,-2.16556871,-0.791103634,-0.320139503,-0.441028265,-1.051606881,-0.951018689,UP
@xerox,2017-11-16,1.974980654,3.076820068,0.9921364,-0.54139337,-0.313232099,-0.440136895,-1.020959821,-1.68015356,DOWN
@xerox,2017-11-15,0.013428188,-0.587877505,-1.291887844,-0.803589147,-0.320788139,-0.439385598,-0.890507944,-1.315586124,UP
@xerox,2017-11-14,-2.147637088,-0.201067842,-1.759150244,-0.641277476,-0.321414015,-0.440136895,-0.835693334,-0.951018689,DOWN
@xerox,2017-11-13,0.214450649,1.31488606,-0.948690028,-1.178154543,-0.318079799,-0.435444471,-1.015424247,0.142683618,DOWN
@xerox,2017-11-10,-1.001705607,-0.603576115,0.445967023,-0.653762989,-0.317317368,-0.433254249,2.373503954,-0.951018689,DOWN
@xerox,2017-11-09,0.047845942,-0.355634633,1.615311381,-0.716190555,-0.317977383,-0.43811858,-0.552635135,0.871818489,UP
@xerox,2017-11-08,-0.958591402,0.477329948,1.586790787,-0.753647094,-0.317727032,-0.439640275,-1.04065723,-1.68015356,UP
@xerox,2017-11-07,0.111707631,1.507263697,2.870217521,-0.603820936,-0.313675903,-0.437940306,-1.039400207,-1.68015356,DOWN
@xerox,2017-11-06,-2.487015545,-0.650042873,-0.181486047,-1.028328385,-0.318933268,-0.43787027,-0.909869836,-0.951018689,UP
@google,2017-11-21,-0.149316725,-0.805123595,0.488272571,1.673578569,0.086609365,0.204958604,0.69125406,1.532140797,UP
@google,2017-11-20,0.741026662,-1.302572977,0.227309135,1.227913813,2.073137916,2.600002789,0.232777803,0.516006868,DOWN
@cisco,2017-11-21,-0.267491501,0.429000474,0.275794145,-0.73580565,-0.304309975,-0.424934525,-0.886883147,-0.780030073,DOWN
@cisco,2017-11-20,-0.378899187,-0.055523264,-1.583273247,-0.784614994,-0.315206687,-0.435798392,0.194448533,-0.554999201,UP
@intel,2017-11-21,-1.167255937,-0.64967261,-0.026524152,-0.774711421,-0.290682118,-0.397025065,-0.759859581,-1.003709282,UP
@intel,2017-11-20,-0.224881452,0.734845834,-0.110184562,-1.087459262,-0.212396684,-0.354144486,-0.786402206,-1.341931421,DOWN
@xerox,2017-11-21,0.325733998,0.397045593,1.97372018,-0.404052725,-0.314779722,-0.43919459,-0.972175182,-1.68015356,DOWN
@xerox,2017-11-20,-3.365289846,-1.022108613,-2.959867256,-0.928444279,-0.320719861,-0.439220058,-0.979347222,-0.221883818,UP
